DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_available_inbound_flights,tot_closed_alerts,tot_entries_x,tot_entries_with_alerts,tot_flights_with_alerts,tot_generated_alerts,tot_investigated_entries,tot_investigated_flights,tot_missing_update,tot_negative_outcome,tot_open_alerts,tot_other,tot_relevant_alerts,tot_viewed_not_investigated_flights,DEPARTURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_COUNTRY_CODE,ARRIVAL_CITY,ZONE,n_high_risk,n_medium_risk,alarm_reason_top,tot_entries_y,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,pct_nat_ALB,alert_rate_AFG,pct_nat_AFG,alert_rate_Unknown,pct_nat_Unknown,alert_rate_doc_Visto,alert_rate_doc_Permesso di soggiorno,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,route
ABJ,CAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ABJ→CAG
ADB,BGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ADB→BGY
ADB,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ADB→FCO
ADB,MXP,0.0,0.0,0.0,3.0,1.0,5.0,281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Izmir,Turchia,TUR,Milano,2,0.0,0.0,MANUALE,7.0,7.0,4.0,5.0,0.5714285714285714,0.5714285714285714,1.0,0.0,0.6,0.0,0.0,1.0,0.4,0.8,0.0,0.0,0.4,0.2,0.2,ADB→MXP
ADB,NAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ADB→NAP
ADD,FCO,4.0,46.0,3047.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Addis Ababa,Etiopia,ETH,Roma,5,0.0,0.0,NSIS,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ADD→FCO
ADD,MXP,1.0,52.0,663.0,30.0,2.0,197.0,873.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,Addis Ababa,Etiopia,ETH,Milano,2,0.0,1.0,MANUALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADD→MXP
ADL,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADL→MXP
AER,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AER→MXP
AGA,BGY,0.0,0.0,478.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Agadir,Marocco,MAR,Bergamo,2,0.0,0.0,MANUALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGA→BGY
AKL,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,AKL→FCO
ALA,MXP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almaty,Kazakistan,KAZ,Milano,2,0.0,0.0,SDI,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ALA→MXP
ALG,FCO,4.0,8.0,274.0,0.0,1.0,1.0,35.0,2.0,0.0,10.0,0.0,0.0,1.0,6.0,Algiers,Algeria,DZA,Roma,5,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALG→FCO
ALG,MXP,0.0,0.0,148.0,8.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,Algiers,Algeria,DZA,Milano,2,0.0,1.0,NO REASON PROVIDED,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,ALG→MXP
AMD,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,AMD→MXP
AMM,BGY,2.0,0.0,368.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Amman,Giordania,JOR,Bergamo,2,0.0,0.0,NO REASON PROVIDED,16.0,16.0,1.0,6.0,0.0625,0.0625,1.0,0.06666666666666667,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.25,0.0,0.25,AMM→BGY
AMM,BLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Amman,Giordania,JOR,Bologna,8,0.0,0.0,MANUALE,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,AMM→BLQ
AMM,CIA,1.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Amman,Giordania,JOR,Roma,5,0.0,0.0,NO REASON PROVIDED,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AMM→CIA
AMM,FCO,3.0,0.0,576.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Amman,Giordania,JOR,Roma,5,0.0,0.0,NO REASON PROVIDED,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,AMM→FCO
AMM,MXP,1.0,3.0,91.0,3.0,2.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Amman,Giordania,JOR,Milano,2,0.0,0.0,INTERPOL,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,AMM→MXP
