DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_available_inbound_flights,tot_closed_alerts,tot_entries_x,tot_entries_with_alerts,tot_flights_with_alerts,tot_generated_alerts,tot_investigated_entries,tot_investigated_flights,tot_missing_update,tot_negative_outcome,tot_open_alerts,tot_other,tot_relevant_alerts,tot_viewed_not_investigated_flights,DEPARTURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_COUNTRY_CODE,ARRIVAL_CITY,ZONE,n_high_risk,n_medium_risk,alarm_reason_top,tot_entries_y,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,pct_nat_ALB,alert_rate_AFG,pct_nat_AFG,alert_rate_doc_N.D.,alert_rate_doc_Visto,alert_rate_doc_Permesso di soggiorno,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,data_coverage,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus
ABJ,CAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,right_only,ABJ→CAG,0,-0.17844663210376294,0,1.0470602803044187,0,3.0650540606105423,1,1,0
ADB,BGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,right_only,ADB→BGY,0,-0.1873933280085036,0,1.0207368238117716,0,3.0650540606105423,1,1,0
ADB,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,ADB→FCO,0,-0.15233573134083117,0,1.1785965476247147,0,2.685730640586978,0,0,0
ADB,MXP,0.0,0.0,0.0,3.0,1.0,5.0,281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Izmir,Turchia,TUR,Milano,2,0.0,0.0,MANUALE,7.0,7.0,4.0,5.0,0.5714285714285714,0.5714285714285714,1.0,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.0,0.4,0.2,0.2,both,ADB→MXP,0,-0.09646072819011337,0,1.1805832818732107,0,2.1199724277617835,0,0,0
ADB,NAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,right_only,ADB→NAP,0,-0.1909978072173587,0,0.9959376853495552,0,2.5771076642544473,0,0,0
ADD,FCO,4.0,46.0,3047.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Addis Ababa,Etiopia,ETH,Roma,5,0.0,0.0,NSIS,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,both,ADD→FCO,0,-0.03286887037308095,0,1.4574688963598699,0,3.0650540606105423,1,1,0
ADD,MXP,1.0,52.0,663.0,30.0,2.0,197.0,873.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,Addis Ababa,Etiopia,ETH,Milano,2,0.0,1.0,MANUALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,ADD→MXP,0,-0.025090012587463906,0,1.5261763093095326,0,4.759285953184926,1,1,0
ADL,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right_only,ADL→MXP,0,-0.20999168971614496,0,0.9981934632717635,0,0.8066728414995614,0,0,0
AER,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,right_only,AER→MXP,0,-0.05895006575384476,0,2.1553801941762094,0,8.348863998384294,1,1,0
AGA,BGY,0.0,0.0,478.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Agadir,Marocco,MAR,Bergamo,2,0.0,0.0,MANUALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,AGA→BGY,0,-0.14602306434996726,1,2.262898312761473,0,1.830663330879188,0,1,0
AKL,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,right_only,AKL→FCO,0,-0.17960690357662884,0,1.0562354483773402,0,2.5771076642544473,0,0,0
ALA,MXP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almaty,Kazakistan,KAZ,Milano,2,0.0,0.0,SDI,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,both,ALA→MXP,0,-0.14314952028702776,0,1.0426173877332974,0,3.154159415409377,1,1,0
ALG,FCO,4.0,8.0,274.0,0.0,1.0,1.0,35.0,2.0,0.0,10.0,0.0,0.0,1.0,6.0,Algiers,Algeria,DZA,Roma,5,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,ALG→FCO,0,-0.07450669115014008,0,1.9282623596969046,0,2.3451761855936635,0,0,0
ALG,MXP,0.0,0.0,148.0,8.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0,Algiers,Algeria,DZA,Milano,2,0.0,1.0,NO REASON PROVIDED,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,both,ALG→MXP,1,0.061866583948098186,0,1.9929534849446342,0,6.985872009648401,1,2,1
AMD,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,right_only,AMD→MXP,0,-0.1305721033960177,0,1.2721767955660284,0,3.4302060575807354,1,1,0
AMM,BGY,2.0,0.0,368.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Amman,Giordania,JOR,Bergamo,2,0.0,0.0,NO REASON PROVIDED,16.0,16.0,1.0,6.0,0.0625,0.0625,1.0,0.06666666666666667,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.25,0.0,0.25,both,AMM→BGY,0,-0.12243780066200766,0,1.0818743499092198,0,1.8214730793214826,0,0,0
AMM,BLQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Amman,Giordania,JOR,Bologna,8,0.0,0.0,MANUALE,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,both,AMM→BLQ,0,-0.174646479396934,0,1.4204023450642744,0,1.6540762280917862,0,0,0
AMM,CIA,1.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Amman,Giordania,JOR,Roma,5,0.0,0.0,NO REASON PROVIDED,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,both,AMM→CIA,0,-0.1538347337873106,0,1.0382038374604714,0,3.0650540606105423,1,1,0
AMM,FCO,3.0,0.0,576.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Amman,Giordania,JOR,Roma,5,0.0,0.0,NO REASON PROVIDED,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,both,AMM→FCO,0,-0.09978326226096945,1,2.2918095402120975,0,1.830663330879188,0,1,0
AMM,MXP,1.0,3.0,91.0,3.0,2.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Amman,Giordania,JOR,Milano,2,0.0,0.0,INTERPOL,4.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.0,0.0,both,AMM→MXP,0,-0.08973056173879274,0,1.1808333507786177,0,2.22227209163972,0,0,0
