DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_available_inbound_flights,tot_closed_alerts,tot_entries_x,tot_entries_with_alerts,tot_flights_with_alerts,tot_generated_alerts,tot_investigated_entries,tot_investigated_flights,tot_missing_update,tot_negative_outcome,tot_other,tot_relevant_alerts,tot_viewed_not_investigated_flights,DEPARTURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_COUNTRY_CODE,ARRIVAL_CITY,ZONE,n_high_risk,n_medium_risk,alarm_reason_top,tot_entries_y,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,pct_nat_ALB,alert_rate_AFG,pct_nat_AFG,alert_rate_doc_N.D.,alert_rate_doc_Carta d'identità,alert_rate_doc_Passaporto,pct_IN ATTESA,pct_SEGNALATO,pct_RESPINTO,pct_OK,data_coverage,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus
IST,BGY,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Istanbul,Turchia,TUR,Bergamo,2,0.0,0.0,SDI,3.0,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both,IST→BGY,0,-0.06349859936889501,0,1.0059051811576207,0,1.2984510096291209,0,0,0
IST,BLQ,6.0,58.0,764.0,43.0,3.0,126.0,316.0,5.0,0.0,22.0,1.0,3.0,3.0,Istanbul,Turchia,TUR,Bologna,8,0.0,0.0,NO REASON PROVIDED,18.0,17.0,5.0,16.0,0.29411764705882354,0.29411764705882354,0.9444444444444444,0.21428571428571427,0.8125,0.6666666666666666,0.1875,0.5,0.0,0.25,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.35714285714285715,both,IST→BLQ,0,-0.01089340123216287,0,1.002492759044202,0,3.1754264805429413,1,1,0
IST,BRI,1.0,0.0,133.0,23.0,1.0,18.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,Istanbul,Turchia,TUR,Bari,9,0.0,0.0,NSIS,14.0,14.0,3.0,9.0,0.21428571428571427,0.21428571428571427,1.0,0.16666666666666666,0.7777777777777778,1.0,0.1111111111111111,0.25,0.16666666666666666,0.0,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,both,IST→BRI,0,-0.026888724714800194,1,1.0211262814293822,0,2.1408720964441885,0,1,0
IST,CAG,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,Istanbul,Turchia,TUR,Cagliari,5,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,IST→CAG,0,-0.07981205504971972,0,0.991739017616332,0,1.6542801066195636,0,0,0
IST,CTA,0.0,0.0,66.0,43.0,2.0,43.0,107.0,1.0,1.0,18.0,0.0,0.0,3.0,Istanbul,Turchia,TUR,Catania,7,0.0,0.0,INTERPOL,7.0,8.0,8.0,3.0,1.0,1.0,1.1428571428571428,1.0,1.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,both,IST→CTA,0,-0.0026310618655758233,0,1.0114244160487866,0,2.1408720964441885,0,0,0
IST,FCO,5.0,16.0,922.0,87.0,7.0,73.0,1407.0,4.0,0.0,58.0,0.0,0.0,11.0,Istanbul,Turchia,TUR,Roma,5,1.0,0.0,NO REASON PROVIDED,34.0,34.0,13.0,20.0,0.38235294117647056,0.38235294117647056,1.0,0.5454545454545454,0.45,0.6363636363636364,0.45,0.5454545454545454,0.5,0.16666666666666666,0.42857142857142855,0.21428571428571427,0.14285714285714285,0.07142857142857142,both,IST→FCO,1,0.002218911908003718,0,0.9934988866154999,0,3.1754264805429413,1,2,1
IST,MXP,8.0,40.0,1240.0,44.0,7.0,94.0,704.0,3.0,0.0,6.0,0.0,4.0,7.0,Istanbul,Turchia,TUR,Milano,2,0.0,1.0,NO REASON PROVIDED,53.0,54.0,30.0,35.0,0.5555555555555556,0.5555555555555556,1.0188679245283019,0.35135135135135137,0.7714285714285715,1.2307692307692308,0.14285714285714285,0.15384615384615385,1.0,0.875,0.3103448275862069,0.2413793103448276,0.1724137931034483,0.1724137931034483,both,IST→MXP,0,-0.0018154733792756783,0,0.9897749016491496,0,2.1408720964441885,0,0,0
IST,NAP,3.0,5.0,340.0,25.0,4.0,94.0,681.0,3.0,0.0,17.0,0.0,0.0,4.0,Istanbul,Turchia,TUR,Napoli,6,0.0,0.0,SDI,3.0,3.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,both,IST→NAP,0,-0.034313646443204615,0,1.006188647673409,0,2.518448566851906,0,0,0
IST,PMO,1.0,7.0,261.0,0.0,2.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,Istanbul,Turchia,TUR,Palermo,7,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,IST→PMO,0,-0.031865472360529945,0,1.003262374925628,0,1.6542801066195636,0,0,0
IST,PSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Istanbul,Turchia,TUR,Pisa,8,0.0,0.0,SDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_only,IST→PSA,0,-0.087981741019372,0,0.9897749016491499,0,1.6542801066195636,0,0,0
