OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
Voli con Allarmi,FCO,IST,2024-01-30 09:15:00,Fiumicino,Havalimani,Roma,Istanbul,ITA,,Italia,Turchia,Manuale,No information provided,LOW,Turchia,ITA,5,Italia,1.0
Viaggiatori con Allarmi,CIA,STN,2024-02-03 13:15:00,Ciampino,Stansted,Roma,London,ITA,,Italia,Regno Unito,Manuale,No information provided,LOW,Regno Unito,ITA,5,Italia,5.0
Viaggiatori entrati nel Sistema,FCO,LHR,2024-01-15 08:45:00,Fiumicino,London Heathrow,Roma,London,ITA,,Italia,Regno Unito,TSC,No information provided,LOW,Regno Unito,ITA,5,Italia,110.0
Voli con Allarmi,MXP,LHR,2024-02-02 08:40:00,Malpensa,London Heathrow,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori con Allarmi,PSA,BRS,2024-02-16 12:50:00,Galileo Galilei,Bristol,Pisa,Bristol,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,8,Italia,2.0
Voli con Allarmi,MXP,LHR,2024-01-06 09:20:00,Malpensa,Nan,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori investigati,VCE,SKP,2024-01-27 06:40:00,Venezia Marco Polo,Petrovec,Venezia,Skopje,ITA,MKD,Italia,Macedonia,Manuale,No information provided,LOW,Macedonia,ITA,4,Italia,165.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,DOH,2024-02-15 09:15:00,Fiumicino,Hamad International,Roma,Doha,ITA,QAT,Italia,Qatar,Manuale,No information provided,LOW,Qatar,ITA,5,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),FCO,RMO,2024-02-14 17:20:00,Fiumicino,Chisinau International Airport,Roma,Chisinau,ITA,MDA,Italia,Moldavia,No information provided,No information provided,LOW,Moldavia,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,MXP,SSH,2024-02-25 13:10:00,Malpensa,Sharm El-Sheikh International,Milano,Sharm El Sheikh,ITA,EGY,Italia,Egitto,SDI,No information provided,LOW,Egitto,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,CAI,2024-01-13 10:00:00,Fiumicino,Cairo International,Roma,Cairo,ITA,EGY,Italia,Egitto,No information provided,No information provided,LOW,Egitto,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,VCE,STN,2024-01-05 18:15:00,Venezia Marco Polo,Stansted,Venezia,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,4,Italia,1.0
