nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA
ALB,NAP,DUR,2024,02,13,2024-02-13 07:30:00,NAPOLI CAPODICHINO,KING SHAKA INTERNATIONAL,NAPOLI,DURBAN,ITA,ZAF,ITALIA,SUDAFRICA,6,1,1,0,PASSAPORTO,F,N.D.,SINGOLA TRATTA,FLY DUBAI,FZ1681,RESPINTO,,,PASSAPORTO,N.D.
ALB,FCO,JFK,2024,01,22,2024-01-22 16:35:00,FIUMICINO,JOHN F KENNEDY INTERNATIONAL,ROMA,NEW YORK,ITA,USA,ITALIA,STATI UNITI,5,1,0,1,CARTA D'IDENTITÀ,F,18-30,SINGOLA TRATTA,ITA AIRWAYS,AZ0609,,,,CARTA D'IDENTITÀ,18-30
ALB,TSF,TIA,2024,02,4,2024-02-04 20:10:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,58,58,13,N.D.,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8400,SEGNALATO,,,N.D.,31-45
AFG,FCO,IST,2024,01,25,2024-01-25 13:05:00,FIUMICINO,HAVALIMANI,ROMA,ISTANBUL,ITA,TR,ITALIA,TURCHIA,5,1,1,0,N.D.,M,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK1865,,,,N.D.,61+
ALB,BGY,MLE,2024,02,13,,ORIO AL SERIO,MALE INTERNATIONAL,BERGAMO,MALE,ITA,MDV,ITALIA,MALDIVE,2,2,2,1,PERMESSO DI SOGGIORNO,F,46-60,SINGOLA TRATTA,FLY DUBAI,FZ1571,SEGNALATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,TSF,LTN,2024,02,18,2024-02-18 16:30:00,TREVISO-SANT'ANGELO,LONDON LUTON,TREVISO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,3,3,0,CARTA D'IDENTITÀ,F,18-30,SINGOLA TRATTA,RYANAIR DAC,FR1050,RESPINTO,,,CARTA D'IDENTITÀ,18-30
ALB,BGY,SHJ,2023,01,19,2024-01-19 07:15:00,ORIO AL SERIO,SHARJAH,BERGAMO,SHARJAH,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,2,2,1,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,AIR ARABIA,G90710,FERMATO,,,CARTA D'IDENTITÀ,46-60
ALB,BGY,TIA,2024,01,11,2024-01-11 21:55:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,128,128,18,CARTA D'IDENTITÀ,F,46-60,SINGOLA TRATTA,RYANAIR DAC,FR8356,OK,,,CARTA D'IDENTITÀ,46-60
ALB,PSA,TIA,2024,01,6,2024-01-06 12:40:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,77,77,11,N.D.,F,N.D.,SINGOLA TRATTA,AIR ALBANIA,ZB2009,,,,N.D.,N.D.
ALB,BLQ,LHR,2024,02,9,2024-02-09 19:35:00,GUGLIELMO MARCONI,LONDON HEATHROW,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,1,1,0,CARTA D'IDENTITÀ,M,18-30,SINGOLA TRATTA,BRITISH AIRWAYS,BA0544,OK,,,CARTA D'IDENTITÀ,18-30
ALB,BLQ,TIA,2024,01,1,2024-01-01 11:15:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,,102,17,VISTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43877,,,R3,VISTO,46-60
ALB,FCO,TIA,2024,02,6,2024-02-06 05:35:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,,0,,N.D.,F,N.D.,SINGOLA TRATTA,ITA AIRWAYS,AZ0507,OK,,,N.D.,N.D.
ALB,MXP,TIA,2024,02,8,2024-02-08 19:50:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,86,86,11,PERMESSO DI SOGGIORNO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46609,RESPINTO,,,PERMESSO DI SOGGIORNO,18-30
ALB,MXP,LGW,2024,02,2,2024-02-12 20:50:00,MALPENSA,LONDON GATWICK,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,N.D.,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W45787,OK,,,N.D.,61+
,FCO,TUN,2024,02,21,2024-02-21 19:05:00,FIUMICINO,CARTHAGE,ROMA,TUNIS,ITA,TUN,ITALIA,TUNISIA,5,1,1,0,PERMESSO DI SOGGIORNO,M,N.D.,SINGOLA TRATTA,ITA AIRWAYS,AZ0867,,,,PERMESSO DI SOGGIORNO,N.D.
ALB,LIN,MIA,2023,01,9,2024-01-09 19:50:00,LINATE,MIAMI INTERNATIONAL,MILANO,MIAMI,ITA,USA,ITALIA,STATI UNITI,2,4,4,2,N.D.,,0-17,SINGOLA TRATTA,ITA AIRWAYS,AZ0631,SEGNALATO,,,N.D.,0-17
ALB,VRN,TIA,2024,01,9,2024-01-09 12:40:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,74,74,15,CARTA D'IDENTITÀ,N.D.,31-45,SINGOLA TRATTA,AIR ALBANIA,ZB2011,,,,CARTA D'IDENTITÀ,31-45
AFG,BGY,KBL,2024,01,19,2024-01-19 18:00:00,ORIO AL SERIO,KHWAJA RAWASH,BERGAMO,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,2,1,1,1,VISTO,F,0-17,SINGOLA TRATTA,FLY DUBAI,FZ1571,OK,,,VISTO,0-17
ALB,NAP,LGW,2024,02,8,2024-02-08 07:10:00,NAPOLI CAPODICHINO,LONDON GATWICK,NAPOLI,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,6,1,1,0,,F,31-45,SINGOLA TRATTA,EASYJET,U28339,IN ATTESA,,,PERMESSO DI SOGGIORNO,31-45
ALB,BRI,TIA,2024,02,1,2024-02-01 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,48,48,5,N.D.,,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,,,,N.D.,0-17
AFG,MXP,IKA,2024,02,26,2024-02-26 08:40:00,MALPENSA,IMAM KHOMEINI INTERNATIONAL,MILANO,TEHRAN,ITA,IRN,ITALIA,IRAN,2,1,1,0,CARTA D'IDENTITÀ,F,N.D.,SINGOLA TRATTA,TURKISH AIRLINES,TK1873,OK,,,CARTA D'IDENTITÀ,N.D.
ALB,BGY,SAW,2024,01,6,2024-01-06 11:10:00,ORIO AL SERIO,SABIHA GOKCEN,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,2,2,1,PASSAPORTO,M,0-17,SINGOLA TRATTA,TURKISH AIRLINES,TK7794,FERMATO,,,PASSAPORTO,0-17
ALB,MXP,EWR,2024,01,19,2024-01-19 18:05:00,MALPENSA,NEWARK LIBERTY INTERNATIONAL,MILANO,NEWARK,ITA,USA,ITALIA,STATI UNITI,2,1,1,0,N.D.,F,18-30,SINGOLA TRATTA,UNITED AIRLINES,UA0019,SEGNALATO,,,N.D.,18-30
AFG,FCO,SAW,2024,01,10,2024-01-10 11:20:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,1,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK7660,SEGNALATO,,,PERMESSO DI SOGGIORNO,31-45
