nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA,ALARM_REASON_INTERPOL,ALARM_REASON_Manuale,ALARM_REASON_NSIS,ALARM_REASON_No information provided,ALARM_REASON_SDI,ALARM_REASON_TSC,RISK_FLAG_HIGH,RISK_FLAG_LOW,RISK_FLAG_MEDIUM,total_alarms_day,day_of_week,is_weekend,month,alarm_rate,investigation_rate,airport_historical_avg_rate,rate_deviation,alarm_rate_yesterday,rolling_7d_avg_rate,airport_historical_avg_entries,traffic_multiplier,zone_risk_weight
AGO,CAG,ABJ,2024,2,3,2024-02-03 13:00:00,ELMAS,FELIX HOUPHOUET BOIGNY,CAGLIARI,ABIDJAN,ITA,CIV,ITALIA,COSTA D'AVORIO,5.0,1.0,1.0,0.0,N.D.,M,31-45,SINGOLA TRATTA,ROYAL AIR MAROC,,SEGNALATO,,,N.D.,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
ALB,MXP,ADB,2024,1,1,2024-01-01 11:45:00,MALPENSA,ADNAN MENDERES,MILANO,SMIRNE,ITA,TUR,ITALIA,TURCHIA,2.0,1.0,1.0,0.0,VISTO,N.D.,0-17,SINGOLA TRATTA,N.D.,XQ0892,RESPINTO,,,VISTO,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0.125,-0.125,0.125,0.125,1.375,0.7272727272727273,2.0
ALB,NAP,ADB,2024,1,5,2024-01-05 08:00:00,NAPOLI CAPODICHINO,ADNAN MENDERES,NAPOLI,SMIRNE,ITA,TUR,ITALIA,TURCHIA,6.0,2.0,2.0,0.0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK1453,IN ATTESA,,,PERMESSO DI SOGGIORNO,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,0.125,-0.125,0.0,0.0,1.375,1.4545454545454546,6.0
ALB,BGY,ADB,2024,1,8,2024-01-08 11:10:00,ORIO AL SERIO,ADNAN MENDERES,BERGAMO,SMIRNE,ITA,TUR,ITALIA,TURCHIA,2.0,1.0,1.0,0.0,N.D.,M,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK7794,SEGNALATO,,,N.D.,61+,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,1.0,1.0,0.125,0.875,0.0,0.0,1.375,0.7272727272727273,2.0
ALB,MXP,ADB,2024,1,15,2024-01-15 11:45:00,MALPENSA,ADNAN MENDERES,MILANO,SMIRNE,ITA,TUR,ITALIA,TURCHIA,2.0,2.0,2.0,2.0,VISTO,F,N.D.,SINGOLA TRATTA,SUNEXPRESS,XQ0892,IN ATTESA,,,VISTO,N.D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0.125,-0.125,1.0,0.3333333333333333,1.375,1.4545454545454546,2.0
ALB,MXP,ADB,2024,1,15,2024-01-15 11:45:00,MALPENSA,ADNAN MENDERES,MILANO,SMIRNE,ITA,TUR,ITALIA,TURCHIA,2.0,2.0,2.0,2.0,VISTO,F,N.D.,SINGOLA TRATTA,SUNEXPRESS,XQ0892,IN ATTESA,,,VISTO,N.D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0.125,-0.125,0.0,0.25,1.375,1.4545454545454546,2.0
ALB,MXP,ADB,2024,1,29,2024-01-29 11:45:00,MALPENSA,ADNAN MENDERES,MILANO,SMIRNE,ITA,TUR,ITALIA,TURCHIA,2.0,1.0,1.0,0.0,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,SUNEXPRESS,XQ0892,FERMATO,,,CARTA D'IDENTITÀ,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0.125,-0.125,0.0,0.2,1.375,0.7272727272727273,2.0
ALB,FCO,ADB,2024,2,1,2024-02-01 09:15:00,FIUMICINO,ADNAN MENDERES,ROMA,SMIRNE,ITA,TUR,ITALIA,TURCHIA,5.0,1.0,1.0,1.0,N.D.,F,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK1861,OK,,,N.D.,61+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0.0,1.0,0.125,-0.125,0.0,0.16666666666666666,1.375,0.7272727272727273,5.0
ALB,MXP,ADB,2024,2,1,2024-02-01 11:45:00,MALPENSA,ADNAN MENDERES,MILANO,SMIRNE,ITA,TR,ITALIA,TURCHIA,2.0,1.0,1.0,0.0,N.D.,F,46-60,SINGOLA TRATTA,SUNEXPRESS,XQ0892,OK,,,N.D.,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0.0,1.0,0.125,-0.125,0.0,0.14285714285714285,1.375,0.7272727272727273,2.0
AGO,FCO,ADD,2024,2,19,2024-02-19 09:15:00,FIUMICINO,BOLE INTERNATIONAL,ROMA,ADDIS ABABA,ITA,ETH,ITALIA,ETIOPIA,5.0,1.0,1.0,0.0,VISTO,F,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK1861,SEGNALATO,,,VISTO,61+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
ALB,MXP,ADL,2024,1,15,2024-01-15 08:55:00,MALPENSA,ADELAIDE INTERNATIONAL,MILANO,ADELAIDE,ITA,AUS,ITALIA,AUSTRALIA,2.0,1.0,1.0,0.0,CARTA D'IDENTITÀ,M,0-17,SINGOLA TRATTA,QATAR AIRWAYS,QR0127,,,,CARTA D'IDENTITÀ,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ALB,MXP,AER,2024,1,13,2024-01-13 07:00:00,MALPENSA,SOCHI INTERNATIONAL,MILANO,SOCHI,ITA,RUS,ITALIA,RUSSIA,2.0,1.0,1.0,6.0,N.D.,F,46-60,SINGOLA TRATTA,AIR SERBIA,JU0540,SEGNALATO,,,N.D.,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
